id,type,sku,name,productCategory,productImage,sizes,colors,stock,instock,description,discountedPrice,price,discount,newLaunch,templateKey,productDetails,materialName,sleeves,neckType,fabricType,packaging,washCare,ocassions,waistBand,fit
13,variable,DW20KP08TL,Full Sleeve Stand Collar Kurta Pajama- Teal,boys,productimages/DW20KP08TL-2.JPG,"1-(1-2 Years),2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",teal,1,TRUE,Full Sleeve Stand Collar Kurta Pajama- Teal,40,55,,TRUE,products-page,Bownbee Full Sleeves Solid Kurta With Pajama - Teal,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
14,variable,DW20KP10BK,Full Sleeve Stand Collar Kurta Pajama-Black,boys,productimages/DW20KP10BK-4.JPG,"16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),26-(6-7 Years),28-(7-8 Years),30-(8-9 Years),32-(10-11 Years),34-(11-12 Years)",black,1,TRUE,Full Sleeve Stand Collar Kurta Pajama-Black,40,55,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Pyjama - Black,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
15,variable,DW20KP10BL,Full Sleeve Stand Collar Kurta Pajama-Blue,boys,productimages/DW20KP10BL-4.JPG,"16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),26-(6-7 Years),28-(7-8 Years),30-(8-9 Years),32-(10-11 Years),34-(11-12 Years)",blue,1,TRUE,Full Sleeve Stand Collar Kurta Pajama-Blue,40,55,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Pyjama - Blue,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
16,variable,DW20KP10YW,Full Sleeve Stand Collar Kurta Pajama-Yellow,boys,productimages/DW20KP10YW-4.JPG,"16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),26-(6-7 Years),28-(7-8 Years),30-(8-9 Years),32-(10-11 Years),34-(11-12 Years)",yellow,1,TRUE,Full Sleeve Stand Collar Kurta Pajama-Yellow,40,55,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Pyjama - Yellow,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
17,variable,WD20SH05BL,Jacquard Front Open Sherwani- Blue,boys,productimages/WD20SH05BL-3.JPG,"1-(1-2 Years),2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years)",blue,1,TRUE,Jacquard Front Open Sherwani- Blue,60,90,,TRUE,products-page,BownBee Full Sleeves Jacquard Front Open Sherwani With Contrast Dhoti - Blue Yellow,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
18,variable,WD20SH05YW,Jacquard Front Open Sherwani- Yellow,boys,productimages/WD20SH05YW-4.JPG,"2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years)",yellow,1,TRUE,Jacquard Front Open Sherwani- Yellow,60,90,,TRUE,products-page,BownBee Full Sleeves Jacquard Front Open Sherwani With Contrast Dhoti - Yellow Pink,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
19,variable,DW19DK01GR,Sherwani Style Full Sleeve Boys Dhoti Kurta- Green,boys,productimages/DW19DK01GR-4.JPG,"1-(9-12 Months),2-(1-2 Years),3-(2-3 Years),4-(3-4 Years),5-(4-5 Years),6-(5-6 Years),7-(6-7 Years)",green,1,TRUE,Sherwani Style Full Sleeve Boys Dhoti Kurta- Green,55,75,,TRUE,products-page,BownBee Solid Full Sleeves Sherwani With Dhoti - Light Green,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
20,variable,HL20BDK01WH,Attached Jacket Dhoti Kurta For Boys-White,boys,productimages/HL20BDK01WH.JPG,"2-(1-2 Years),3-(2-3 Years),4-(3-4 Years),5-(4-5 Years)",white,1,TRUE,Attached Jacket Dhoti Kurta For Boys-White,45,60,,TRUE,products-page,BownBee Embroidery Neckline Full Sleeves Kurta With Attached Jacket & Dhoti - White,Silk Blend,Full Sleeves,Round,Woven,Single,Dryclean,Ethnic,Elastic,Regular
23,variable,NV19KD19YL,Sleeveless Mirror work kedia dhoti set - Yellow,boys,productimages/NV19KD19YL-6.JPG,"14-(2-3 Years),16-(3-4 Years),18-(4-5 Years)",yellow,1,TRUE,Sleeveless Mirror work kedia dhoti set - Yellow,45,60,,TRUE,products-page,Bownbee Sleeveless Mirror Work Kedia Dhoti Set With Cap - Yellow,Cotton,Sleeveless,Collar,Woven,With Dhoti Pants,Dryclean,Ethnic,Elastic,Regular
25,variable,DW19DK02RD,Leheria Sherwani Style Dhoti Kurta- Red,boys,productimages/DW19DK02RD-1.JPG,"0-(6-9 Months),1-(9-12 Months)",red,1,TRUE,Leheria Sherwani Style Dhoti Kurta- Red,60,80,,TRUE,products-page,BownBee Striped Full Sleeves Kurta With Dhoti - Red & White,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
